"DOR Code","Municipality","Fiscal Year","Total Outstanding Debt (Schedule A Part 10)","Equalized Values (EQV)","Outstanding Debt as a % of EQV","Population","Outstanding Debt Per Capita","GF Debt Service (Schedule A Part 2)","Total Budget","Debt Service as a % of Budget"
"080","Dudley","2022","10,720,202","1,146,095,200","0.94%","11,773","911","1,435,552","20,356,369","7.05%"
"080","Dudley","2023","11,127,861","1,146,095,200","0.97%","11,921","933","1,144,648","21,275,579","5.38%"
"080","Dudley","2024","13,456,717","1,305,684,900","1.03%","11,884","1,132","582,862","23,575,592","2.47%"
"080","Dudley","2025","20,117,027","1,305,684,900","1.54%","11,850","1,698","906,476","24,358,972","3.72%"
"081","Dunstable","2021","3,100,000","551,243,500","0.56%","3,404","911","308,227","11,537,330","2.67%"
"081","Dunstable","2022","2,958,688","606,991,900","0.49%","3,403","869","136,938","12,265,143","1.12%"
"081","Dunstable","2023","2,653,002","606,991,900","0.44%","3,358","790","203,993","13,010,740","1.57%"
"081","Dunstable","2024","2,517,901","708,127,800","0.36%","3,341","754","180,036","13,114,504","1.37%"
"081","Dunstable","2025","3,081,371","708,127,800","0.44%","3,355","918","175,853","13,335,647","1.32%"
"082","Duxbury","2021","65,042,835","4,265,308,000","1.52%","15,946","4,079","8,491,367","85,352,881","9.95%"
"082","Duxbury","2022","64,023,926","4,654,728,300","1.38%","15,921","4,021","7,250,199","86,866,220","8.35%"
"082","Duxbury","2023","58,241,705","4,654,728,300","1.25%","16,090","3,620","7,124,179","93,766,259","7.60%"
"082","Duxbury","2024","52,741,105","5,389,486,400","0.98%","16,116","3,273","6,831,188","93,803,918","7.28%"
"082","Duxbury","2025","47,457,060","5,389,486,400","0.88%","16,107","2,946","6,954,800","97,572,161","7.13%"
"083","East Bridgewater","2021","36,550,149","1,751,566,500","2.09%","14,496","2,521","3,838,399","52,160,433","7.36%"
"083","East Bridgewater","2022","35,393,785","1,926,835,300","1.84%","14,526","2,437","3,564,430","55,509,971","6.42%"
"083","East Bridgewater","2023","31,875,960","1,926,835,300","1.65%","14,440","2,207","3,590,105","58,773,133","6.11%"
"083","East Bridgewater","2024","28,359,166","2,211,733,200","1.28%","14,465","1,961","3,457,023","58,982,129","5.86%"
"083","East Bridgewater","2025","29,526,551","2,211,733,200","1.33%","14,338","2,059","3,512,180","60,309,201","5.82%"
"084","East Brookfield","2021","125,000","253,517,600","0.05%","2,215","56","129,800","5,342,107","2.43%"
"084","East Brookfield","2022","375,000","278,867,500","0.13%","2,210","170","130,000","5,713,056","2.28%"
